Data Source,Indicadores del desarrollo mundial,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66
Last Updated Date,44706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas del Canal,CHI,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,12330000,-18969999.899999999,-1100000,-4799999.9000000004,2310000,50000000,-1000000,21000000,181000000,244000000,213000000,383000000,401000000,135000000,78000000,144300000,315500000,890500000,967900000,1283500000,661200000,822700000,936100000,1034300000,2582100000,2957000000,4814616000,5271400000,4627817978,8761016217.8400002,4860015667.5200005,4199763048.8499999,2549923142.4110799,4026497832.75699,6797252642.3695898,7462207179.8094397,7586190389.7664804,13474760472.502501,18473102612.103901,13855126064.8962,16019683111.6555,25564944876.5765,31368232402.7197,22210440993.2687,23558041868.353298,20879139388.8964,12328624278.076,6127820993.2386103,7759647365.06777,12586607704.3638,8527994517.1941404,
China,CHN,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,80000,57000000,265000000,430000000,636000000,1258000000,1659000000,1875000000,2314000000,3194000000,3393000000,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,45439000000,45644000000,41014000000,42095300000,47053000000,53073618897.403603,57900937467.386398,68117272181.219398,104108693867.08501,124082035618.506,156249335203.202,171534650311.569,131057052869.5,243703434558.17801,280072219149.935,241213868161.42001,290928431467.00299,268097181064.33499,242489331627.39899,174749584584.05099,166083755721.64899,235365050036.341,187169822364.755,212475704712.90601,
Côte d'Ivoire,CIV,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,30699999.899999999,15699999.9,18699999.899999999,51000000,32600000,69060000,44780000,14650000,83310000,74750000,94659999.900000006,32750000,47469999.899999999,37530000,21739999.899999999,29160000,70750000,87510000,51700000,18489999.899999999,48434429.600000001,18524885.899999999,69053843.700000003,175153533.40000001,117538566.8,211760840.40000001,269194529.60000002,415458076.39999998,760099126.70000005,235348766.19999999,234701731.5,272679898.30000001,212580417.5,165390571.19999999,282979831,349059586.54327202,350964618.55939698,443801751.42317301,468377743.88890201,397624744.26800501,358468317.34200197,301972462.51786101,330255520.654571,407592122.10142702,439356961.15090102,494408755.77634102,577871524.15621495,975014998.79549301,620330654.35979104,848881139.44287705,508531022.5,
Camerún,CMR,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,16000000,1700000,3299999.8999999999,3100000,21600000,27100000,16399999.9,8710528.8593735192,40548470.536122598,62099933.675326496,129827989.964101,135391025.42127001,111440362.74180301,213821207.60490501,17667655.8671505,316229050.225977,-90700157.512785405,115925994.899277,92362479.483829603,-85734446.545448393,-112831336.842375,-14498049.7545054,29203775.780285802,5120733.12285922,3674320.5091065699,15105727.2922078,104417058.426533,149614497.75563499,55231294.157724701,35009801.844118699,159708006.20138699,-11668387.378390601,505256043.293607,334888535.86020797,67984855.642229199,243601636.50045601,59122291.342805803,189581294.62515301,20995513.744612899,746276648.96181798,536265313.19888502,653266626.57178605,527363935.614182,547404749.757182,725854540.91487706,694336734.87981999,663893595.165465,814458940.92762494,765092012.77852595,1024779237.90889,675186993.65287006,
"Congo, República Democrática del",COD,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,6429999.9000000004,5740000,10470000,17719999.899999999,51979999.899999999,9119999.9000000004,238430000,18190000,97680000,143849999.90000001,109620000,69629999.900000006,-2370000,-192789999.90000001,-32450000,69189999.900000006,5549999.9000000004,-55079999.899999999,-3939999.8999999999,-6110000,-14460000,12390000,-730000,6870000,-1500000,-22350000,24789999.899999999,-44350000,61329999.899999999,11160000,94190399.900000006,102221899.90000001,187598693.59999999,391254723.5,409032814.39999998,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1596024303.8568599,2891607809.0954199,1697585830.8062601,1499572152.4979701,1165720010.3076701,932374669.38090706,1047979482.5552599,1407563588.4242301,1350994226.2053499,1498084807.8648,
"Congo, República del",COG,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,5099999.9000000004,48700000,66299999.899999999,68299999.900000006,46100000,15400000,2379999.8999999999,1986323.6000000001,4050415.5267777098,16481632.6620511,40032269.016272902,30842951.455712602,35349296.930878803,56079518.980324097,34948545.692649603,12689672.804521,22439698.313653499,43448956.412019499,9095236.5293236803,-7125213.0999999996,22551558.199999999,32753529.600000001,2739032.5,286054322,2990000,112782084.60409001,62427618.578583397,-49200799.905280396,-169664715.51578701,-68273606.079711601,-97897925.117968693,-135361238.247372,199155450.954144,219545648.81708199,88399286.099930704,800996241.64062405,1487693084.45891,1422370639.4163499,1940120150.9170201,1184284700.6548901,1520744890.62462,298288001.18638498,-69253909.368666694,1878325499.2760999,2887256932.11379,4278118364.98033,50574345.339136302,4416953734,4315250918,3366085012,4015531451,
Colombia,COL,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,42999999.999755897,43128139.999511696,18457070,23842600,40889759.999633797,37068850,25000000,65000000,107000000,127000000,157137699.99975601,265000000,366000000,618000000,584000000,1023000000,674000000,319000000,203000000,576000000,500000000,456900000,728700000,959100000,1446497261.3358099,968368273.64733505,3111676589.81669,5562216361.6176901,2828826261.6125102,1507907130.4458899,2436459923.4285598,2541942612.2073898,2133698124.1494601,1720493455.4981301,3115635873.5205798,10235417315.1376,6750625311.1587801,8885764397.5629292,10564155795.932699,8034746177.0844498,6429989612.9941301,14647048638.4496,15039979138.891399,16210419015.9816,16168701714.749701,11620532645.7092,13857937720.802601,13700880445.1998,11298692773.8486,13989154028.368299,7458624984.2192898,
Comoras,COM,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,1919999.8999999999,,0,0,150000,0,0,0,0,7546566.71700799,3767051.25949986,3266400.3776545902,393003.10379242001,2506163.3340103198,-1446978.1249784101,190704.78059666901,177714.23999435801,889525.01769817504,510000,20000,384216.29999999999,271000,93636.115000000005,1145914.9950000001,430423.47899999999,793243.73456210701,672560.37863501604,558865.80003374605,778420.21387879597,7691947.2891568802,4650574.1569067603,13839598.167791501,8350406.7221208503,23118440.540198099,10375197.461467501,4231644.4170000004,4684558.6751838904,4936699.5104448199,3569823.7299720701,3919473.0250083101,5672348.1285800897,4300803.9663215801,3873524.3915979099,
Cabo Verde,CPV,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-8734.1783997529401,2786140.59499304,597911.68002220197,174023.25653468899,252601.21659828501,1744334.22803128,450471.75301484601,3644068.1268539201,2128443.3544657999,26180647.1200555,28528007.736069601,11576610.739455501,6793745.3941288404,53935025.354915798,34202238.381614603,9010186.2056865599,14759046.676955201,39216510.812763304,67638273.803389907,80513541.332208306,131539968.034584,191764359.16333899,210903689.26943401,126003552.248347,116200563.572313,102246382.223796,128009964.769677,89297443.996138707,180589795.41307399,96071472.836867794,126312006.10164499,111711633.73814,112695606.413716,103278999.91683701,74115212.1615154,
Costa Rica,CRI,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,26345009.899999999,22100000,25846010,37700000,46310009.899999999,69022010,61952010,62500000,48600000,43500000,52600000,69600000,28900000,60700000,55900000,69900000,61000000,80300000,122200000,101300000,162500000,178400000,226000000,246700000,297600000,336900000,426950000,409440000,614500000,619469212,723426415.26423895,621846413.15973401,723172624.76883495,774386239.76420498,1083718486.4979899,1528787464.115,1801002598.41588,2241492021.1967702,2436112218.26755,1614614468.4523399,1906923793.4507799,2733268839.9815502,2696295210.6789298,3205384976.8029399,3242149796.9724002,2955521680.8396702,2620435490.6153402,2924906990.98245,3014543618.02812,2719031329.4226799,2103003648.9835999,
Estados pequeos del Caribe,CSS,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,347578499.69456571,342916171.53849816,298679836.9938904,269180299.91036338,305300684.43422937,178387131.51101509,162120408.64024928,100970960.81843072,117240333.28701401,115577068.76677853,316929902.03790736,443005555.56245816,274283333.41960311,228691666.71728909,115297352.8527924,43155758.849411614,-26018518.418518569,89487037.037036926,57234874.531318903,105774489.07446644,377432455.00828946,526483875.4983657,572953464.15228808,653965212.05665803,885069632.52435708,835726537.73598146,839764566.0695442,1685532066.9225018,1580922407.7588744,1666996131.0459261,1708338668.8122456,2038044659.2054148,2134414351.1486101,2329939021.0898032,2533129347.0747533,3284457853.955617,3749496377.04743,3938759457.5878768,6617474874.9151077,3006666779.4588327,2587458155.8232465,2241090590.4013166,672346250.51579463,928627334.73355448,3079599970.5370045,2928917702.4652634,2892347631.8494763,2014802145.0772078,2835137646.7131686,3787462828.8248186,2379800140.1461058,
Cuba,CUB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70502234.636871502,69702234.636871502,-1508379.8882681499,69296089.385474905,146435754.189944,133083798.882682,172681564.24581,126924996.849162,78235859.044692695,158149266.87709501,
