...1,1990,2000,2012,...5,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bulgaria,"7,070,000,000.0","7,320,635,450.1","33,592,910,000.0",,"37,139,440,000.0","38,152,790,000.0","33,553,820,000.0","35,772,010,000.0","41,450,590,000.0","44,863,810,000.0","45,505,170,000.0","40,358,260,000.0",..
Burkina Faso,..,..,"3,393,035,928.7",,"3,281,421,146.6","3,370,957,552.0","2,914,314,797.7","3,448,462,093.6","3,925,344,520.0","4,750,004,847.6","4,682,310,006.6","5,603,943,479.6",..
Burundi,"97,661,144.5","55,410,264.5","235,581,819.7",,"235,021,577.0","218,166,817.1","193,494,604.5","208,531,185.3","284,078,967.3","301,844,770.7",..,..,..
Cabo Verde,"63,242,977.0","145,886,863.0","783,764,531.8",,"855,136,298.4","907,869,091.4","672,364,266.5","740,004,409.9","825,638,301.5","998,359,384.3","1,038,986,109.1","438,967,956.7",..
Camboya,..,"1,892,631,567.8","9,110,024,574.6",,"10,802,827,719.6","12,311,677,733.6","13,644,764,140.4","14,682,857,445.5","16,273,653,510.1","18,993,772,425.9","21,804,630,563.1","20,958,379,072.9",..
Camerún,"2,515,822,942.6","2,699,655,681.2","7,590,572,691.2",,"8,195,673,647.3","8,764,661,784.6","6,917,995,726.3","6,450,612,391.4","6,743,092,466.5","7,511,529,193.9","7,962,324,991.5","6,286,863,324.6",..
Canadá,"164,487,933,885.2","353,285,347,789.1","628,021,429,859.1",,"633,595,812,760.5","651,216,270,438.1","568,476,612,155.3","555,554,623,572.2","608,866,564,683.0","663,213,133,704.4","673,497,702,522.9","582,464,260,337.3","726,954,401,152.7"
Islas Caimán,..,..,..,,..,..,..,"5,858,607,315.6","6,406,715,731.3","8,218,446,811.5","8,440,573,302.8",..,..
República Centroafricana,"220,373,704.8",..,..,,..,..,..,..,..,..,..,..,..
Chad,"274,218,346.6",..,..,,..,..,..,..,..,..,..,..,..
Islas del Canal,..,..,..,,..,..,..,..,..,..,..,..,..
Chile,"10,704,900,000.0","24,890,789,078.8","98,427,516,489.6",,"97,267,392,050.4","94,678,061,038.0","79,301,686,319.4","78,053,755,676.0","87,133,148,546.2","93,926,746,615.2","88,975,861,572.2","88,938,426,479.1",..
China,"60,391,000,000.0","202,589,270,000.0","2,342,129,055,768.5",,"2,539,567,897,419.1","2,702,274,321,141.0","2,583,968,396,725.3","2,424,576,042,121.3","2,718,975,576,076.0","2,919,505,938,716.8","2,904,513,533,412.2","2,974,045,950,400.2",..
Colombia,"9,026,000,000.0","16,836,363,312.6","73,003,061,953.5",,"72,413,166,779.4","69,838,519,052.4","51,601,331,124.8","47,762,824,176.3","54,898,258,556.2","59,901,235,648.8","58,300,167,459.5","42,551,100,311.1","56,227,626,052.3"
Comoras,"38,147,011.6",..,"93,301,162.2",,..,"132,185,507.8","103,125,068.1","115,781,877.1","135,985,386.7","158,188,803.4","151,069,910.3","77,988,758.7",..
"Congo, República Democrática del",..,..,"9,049,323,953.2",,"12,053,876,498.6","12,745,396,822.6","10,600,660,413.4","12,030,085,170.4","11,668,565,622.0","16,154,326,582.6","15,246,058,775.7","14,125,330,145.4",..
"Congo, República del","1,502,581,377.0","2,642,270,631.1","10,350,632,960.3",,"9,604,332,929.2","9,552,306,160.3","5,137,155,347.1","4,610,154,018.7",..,..,..,..,..
Costa Rica,"2,093,500,000.0","6,828,328,897.8","15,434,698,895.2",,"16,061,176,864.8","16,906,272,222.6","17,464,504,666.7","19,009,158,600.1","19,792,601,955.2","22,026,859,927.3","22,811,771,351.6","20,344,574,951.7",..
Côte d'Ivoire,..,..,"13,315,176,187.8",,"13,195,328,625.4","14,125,247,026.7","12,727,230,898.8","12,078,571,647.1","13,152,925,227.2","13,434,460,937.5","14,172,573,847.9","13,631,340,134.9",..
Croacia,..,"7,958,321,587.3","24,633,207,728.4",,"24,789,060,215.9","26,445,546,546.3","24,374,422,462.1","25,152,789,915.3","28,992,698,691.7","33,444,819,536.5","34,627,899,335.0","27,393,343,247.6",..
Cuba,..,..,..,,..,..,..,..,..,..,..,..,..
Curacao,..,..,"2,448,042,458.1",,"2,271,424,581.0","2,408,731,843.6","2,120,368,715.1","1,926,184,357.5","1,951,212,210.6","2,106,105,333.4","1,964,934,399.1","1,155,355,796.6",..
Chipre,"3,114,085,442.5","5,591,396,682.4","32,580,595,067.9",,"35,163,844,023.4","36,621,674,792.4","45,299,539,157.4","29,033,389,037.0","42,399,546,256.1","49,907,976,167.1","38,670,792,052.5","36,676,017,346.0",..
República Checa,..,"31,363,959,964.7","166,182,329,014.1",,"167,870,114,505.2","179,118,652,143.7","158,794,335,979.1","163,593,811,278.5","184,862,441,017.3","203,641,992,152.3","199,841,625,903.9","184,881,384,126.8",..
Dinamarca,"54,913,066,707.5","85,688,552,483.0","204,991,329,617.5",,"220,210,258,509.3","226,179,357,785.3","196,465,090,100.9","194,225,589,144.3","212,134,481,459.3","233,765,897,286.1","236,106,321,336.7","225,489,656,361.3",..
Djibouti,..,"218,432,261.8","503,069,417.8",,"3,237,580,252.2","3,604,959,458.9","3,565,296,166.5","2,743,243,623.4","4,187,912,514.6","4,622,925,821.9","5,229,134,429.8","3,758,902,868.4",..
Dominica,"93,477,777.8","149,185,185.2","165,048,749.6",,"174,273,530.7","290,930,088.1","280,753,451.7","280,889,826.5","230,673,671.8","167,166,791.3","225,746,105.0","106,416,851.6",..
República Dominicana,"1,918,000,000.0","6,201,500,000.0","15,754,000,000.0",,"16,390,900,000.0","17,504,900,000.0","17,529,100,000.0","18,627,500,000.0","19,450,800,000.0","20,671,000,000.0","21,175,100,000.0","14,829,800,000.0",..
Ecuador,"3,287,000,000.0","6,163,443,860.0","26,477,836,476.0",,"27,740,769,563.0","29,063,481,902.6","21,580,392,708.0","20,251,984,511.7","22,713,360,841.9","25,641,972,791.9","26,314,977,346.9","22,347,128,406.6",..
"Egipto, República Árabe de","10,751,500,000.0","18,735,000,000.0","48,833,600,000.0",,"44,991,700,000.0","47,364,800,000.0","37,872,900,000.0","34,007,200,000.0","43,609,300,000.0","52,529,133,911.7","54,570,434,740.9","40,646,263,091.3",..
El Salvador,"1,002,579,703.1","2,650,200,000.0","6,188,885,212.2",,"6,611,600,026.3","6,732,651,568.2","7,038,574,510.8","7,004,149,337.1","7,388,273,026.8","7,789,397,195.0","8,228,675,325.9","6,449,859,209.9",..
Guinea Ecuatorial,"42,322,770.0",..,..,,..,..,..,..,..,..,..,..,..
Eritrea,..,"106,859,611.3",..,,..,..,..,..,..,..,..,..,..
Estonia,..,"3,622,493,893.4","21,119,199,399.9",,"22,810,864,415.6","23,291,007,359.3","18,855,443,188.8","19,856,881,701.9","21,827,396,629.5","24,369,404,737.6","24,831,734,384.2","23,549,767,886.9","31,415,834,003.7"
Eswatini,"819,573,658.1","1,374,972,051.4","1,917,902,060.0",,"2,072,221,717.4","2,140,489,648.4","1,999,150,041.9","1,828,471,070.8","2,098,337,541.9","2,044,012,100.3","2,194,060,057.2","1,911,040,252.6",..
Etiopía,"605,797,101.4","1,008,455,360.4","6,003,581,061.0",,"6,124,095,308.0","6,396,127,496.4","6,026,047,096.0","5,917,837,030.3","6,666,299,091.1","7,690,819,312.5","7,654,757,397.5","7,727,453,323.2",..
Islas Feroe,..,"632,250,000.0",..,,..,..,..,..,..,..,..,..,..
Fiji,"881,621,077.2","1,021,549,633.6","2,503,220,720.4",,"2,465,742,324.5","2,602,621,732.2","2,348,582,375.6","2,376,666,926.8","2,544,559,335.9","2,729,748,500.0","2,697,960,078.6","1,293,109,378.5",..
Finlandia,"34,350,394,512.3","60,045,402,413.8","120,200,704,827.6",,"122,438,617,870.0","123,076,068,428.0","100,237,031,109.8","101,588,546,509.5","114,487,335,022.9","126,432,769,890.3","130,585,496,441.5","119,413,914,704.5","139,867,638,308.4"
Francia,"341,070,471,632.1","475,024,874,976.7","1,008,885,714,785.3",,"1,047,345,859,403.3","1,063,391,282,640.5","955,755,830,680.8","957,952,564,490.2","1,022,184,408,474.1","1,132,651,379,087.2","1,114,692,333,433.5","925,277,541,399.6",..
Polinesia Francesa,..,..,"1,808,698,927.3",,"1,909,184,057.1","1,961,540,014.8","1,718,075,713.7","1,834,115,472.2",..,..,..,..,..
Gabón,"2,750,410,751.3","3,541,297,779.9","10,164,625,217.9",,"9,670,499,631.3","8,557,981,459.7","5,501,128,936.2",..,..,..,..,..,..
Gambia,"175,130,266.5",..,"279,452,192.8",,"265,945,245.1","271,134,211.2","219,089,153.8","189,858,500.6","280,838,612.6","374,426,654.0","372,615,401.4","183,404,526.3","140,585,588.6"
Georgia,..,"993,845,377.4","7,098,576,422.0",,"8,093,809,035.1","8,065,858,739.0","6,952,651,653.4","7,091,684,714.7","8,689,820,205.9","10,178,439,228.6","10,917,407,025.5","6,888,452,521.6",..
